p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;0.0;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.0;0.0
0.30000000000000004;0.25000000000000006;0.5;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;0.0;0.0
0.4;0.25000000000000006;0.68;0.0
0.4;0.35000000000000003;3.12;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.0;0.0
0.5;0.25000000000000006;0.22;0.0
0.5;0.35000000000000003;2.34;0.0
0.5;0.45000000000000007;4.98;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;0.0;0.0
0.6;0.25000000000000006;0.38;0.0
0.6;0.35000000000000003;2.34;0.0
0.6;0.45000000000000007;4.48;0.0
0.6;0.5500000000000002;6.68;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;0.0;0.0
0.7000000000000001;0.25000000000000006;0.44;0.0
0.7000000000000001;0.35000000000000003;2.3;0.0
0.7000000000000001;0.45000000000000007;4.1;0.0
0.7000000000000001;0.5500000000000002;6.26;0.0
0.7000000000000001;0.6500000000000001;8.22;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;0.0;0.0
0.8;0.25000000000000006;0.22;0.0
0.8;0.35000000000000003;2.08;0.0
0.8;0.45000000000000007;4.1;0.0
0.8;0.5500000000000002;5.78;0.0
0.8;0.6500000000000001;7.34;0.0
0.8;0.7500000000000002;9.18;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.0;0.0
0.9;0.25000000000000006;0.22;0.0
0.9;0.35000000000000003;2.2;0.0
0.9;0.45000000000000007;3.62;0.0
0.9;0.5500000000000002;5.4;0.0
0.9;0.6500000000000001;6.9;0.0
0.9;0.7500000000000002;8.64;0.0
0.9;0.8500000000000002;11.48;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.0;0.0
1.0;0.25000000000000006;0.24;0.0
1.0;0.35000000000000003;1.72;0.0
1.0;0.45000000000000007;4.02;0.0
1.0;0.5500000000000002;5.86;0.0
1.0;0.6500000000000001;6.54;0.0
1.0;0.7500000000000002;8.68;0.0
1.0;0.8500000000000002;10.52;0.0
1.0;0.9500000000000002;16.06;0.0
