p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;0.0;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.0;0.0
0.30000000000000004;0.25000000000000006;0.0;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;0.0;0.0
0.4;0.25000000000000006;0.0;0.0
0.4;0.35000000000000003;0.36;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.0;0.0
0.5;0.25000000000000006;0.0;0.0
0.5;0.35000000000000003;0.86;0.0
0.5;0.45000000000000007;2.22;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;0.0;0.0
0.6;0.25000000000000006;0.18;0.0
0.6;0.35000000000000003;0.98;0.0
0.6;0.45000000000000007;2.38;0.0
0.6;0.5500000000000002;4.26;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;0.0;0.0
0.7000000000000001;0.25000000000000006;0.0;0.0
0.7000000000000001;0.35000000000000003;0.58;0.0
0.7000000000000001;0.45000000000000007;2.06;0.0
0.7000000000000001;0.5500000000000002;3.9;0.0
0.7000000000000001;0.6500000000000001;5.54;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;0.0;0.0
0.8;0.25000000000000006;0.2;0.0
0.8;0.35000000000000003;1.14;0.0
0.8;0.45000000000000007;2.14;0.0
0.8;0.5500000000000002;3.94;0.0
0.8;0.6500000000000001;5.78;0.0
0.8;0.7500000000000002;7.84;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.0;0.0
0.9;0.25000000000000006;0.0;0.0
0.9;0.35000000000000003;0.98;0.0
0.9;0.45000000000000007;2.76;0.0
0.9;0.5500000000000002;4.18;0.0
0.9;0.6500000000000001;5.64;0.0
0.9;0.7500000000000002;6.98;0.0
0.9;0.8500000000000002;8.76;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.0;0.0
1.0;0.25000000000000006;0.18;0.0
1.0;0.35000000000000003;1.12;0.0
1.0;0.45000000000000007;3.0;0.0
1.0;0.5500000000000002;4.52;0.0
1.0;0.6500000000000001;6.18;0.0
1.0;0.7500000000000002;8.5;0.0
1.0;0.8500000000000002;9.38;0.0
1.0;0.9500000000000002;12.7;0.0
