p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;2.06;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.88;0.0
0.30000000000000004;0.25000000000000006;10.12;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;1.76;0.0
0.4;0.25000000000000006;7.86;0.0
0.4;0.35000000000000003;13.56;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;1.6;0.0
0.5;0.25000000000000006;7.22;0.0
0.5;0.35000000000000003;11.94;0.0
0.5;0.45000000000000007;15.22;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;1.4;0.0
0.6;0.25000000000000006;7.74;0.0
0.6;0.35000000000000003;10.26;0.0
0.6;0.45000000000000007;13.66;0.0
0.6;0.5500000000000002;16.48;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;1.32;0.0
0.7000000000000001;0.25000000000000006;6.52;0.0
0.7000000000000001;0.35000000000000003;9.24;0.0
0.7000000000000001;0.45000000000000007;12.56;0.0
0.7000000000000001;0.5500000000000002;14.92;0.0
0.7000000000000001;0.6500000000000001;16.66;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;1.32;0.0
0.8;0.25000000000000006;5.34;0.0
0.8;0.35000000000000003;9.42;0.0
0.8;0.45000000000000007;12.38;0.0
0.8;0.5500000000000002;14.32;0.0
0.8;0.6500000000000001;16.08;0.0
0.8;0.7500000000000002;17.26;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.88;0.0
0.9;0.25000000000000006;5.0;0.0
0.9;0.35000000000000003;8.54;0.0
0.9;0.45000000000000007;11.62;0.0
0.9;0.5500000000000002;12.98;0.0
0.9;0.6500000000000001;15.1;0.0
0.9;0.7500000000000002;16.74;0.0
0.9;0.8500000000000002;18.96;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.88;0.0
1.0;0.25000000000000006;4.64;0.0
1.0;0.35000000000000003;8.58;0.0
1.0;0.45000000000000007;11.38;0.0
1.0;0.5500000000000002;12.62;0.0
1.0;0.6500000000000001;14.94;0.0
1.0;0.7500000000000002;16.74;0.0
1.0;0.8500000000000002;19.12;0.0
1.0;0.9500000000000002;20.0;0.0
