p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;0.0;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.0;0.0
0.30000000000000004;0.25000000000000006;0.0;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;0.0;0.0
0.4;0.25000000000000006;0.0;0.0
0.4;0.35000000000000003;0.036;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.0;0.0
0.5;0.25000000000000006;0.0;0.0
0.5;0.35000000000000003;0.07799999999999999;0.0
0.5;0.45000000000000007;0.2;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;0.0;0.0
0.6;0.25000000000000006;0.0;0.0
0.6;0.35000000000000003;0.05600000000000001;0.0
0.6;0.45000000000000007;0.22600000000000003;0.0
0.6;0.5500000000000002;0.364;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;0.0;0.0
0.7000000000000001;0.25000000000000006;0.0;0.0
0.7000000000000001;0.35000000000000003;0.09;0.0
0.7000000000000001;0.45000000000000007;0.20800000000000002;0.0
0.7000000000000001;0.5500000000000002;0.394;0.0
0.7000000000000001;0.6500000000000001;0.6539999999999999;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;0.0;0.0
0.8;0.25000000000000006;0.036;0.0
0.8;0.35000000000000003;0.098;0.0
0.8;0.45000000000000007;0.24399999999999994;0.0
0.8;0.5500000000000002;0.386;0.0
0.8;0.6500000000000001;0.5880000000000001;0.0
0.8;0.7500000000000002;0.758;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.0;0.0
0.9;0.25000000000000006;0.0;0.0
0.9;0.35000000000000003;0.086;0.0
0.9;0.45000000000000007;0.242;0.0
0.9;0.5500000000000002;0.4960000000000001;0.0
0.9;0.6500000000000001;0.6140000000000001;0.0
0.9;0.7500000000000002;0.6839999999999999;0.0
0.9;0.8500000000000002;0.9339999999999999;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.0;0.0
1.0;0.25000000000000006;0.018;0.0
1.0;0.35000000000000003;0.12800000000000003;0.0
1.0;0.45000000000000007;0.40800000000000003;0.0
1.0;0.5500000000000002;0.5600000000000002;0.0
1.0;0.6500000000000001;0.66;0.0
1.0;0.7500000000000002;0.79;0.0
1.0;0.8500000000000002;0.9139999999999999;0.0
1.0;0.9500000000000002;1.1440000000000001;0.0
