p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;0.052000000000000005;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.192;0.0
0.30000000000000004;0.25000000000000006;0.9280000000000002;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;0.158;0.0
0.4;0.25000000000000006;0.86;0.0
0.4;0.35000000000000003;1.3679999999999999;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.08800000000000001;0.0
0.5;0.25000000000000006;0.738;0.0
0.5;0.35000000000000003;1.22;0.0
0.5;0.45000000000000007;1.484;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;0.08800000000000001;0.0
0.6;0.25000000000000006;0.6199999999999999;0.0
0.6;0.35000000000000003;1.0799999999999998;0.0
0.6;0.45000000000000007;1.386;0.0
0.6;0.5500000000000002;1.592;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;0.057999999999999996;0.0
0.7000000000000001;0.25000000000000006;0.5680000000000001;0.0
0.7000000000000001;0.35000000000000003;0.9200000000000002;0.0
0.7000000000000001;0.45000000000000007;1.262;0.0
0.7000000000000001;0.5500000000000002;1.4759999999999998;0.0
0.7000000000000001;0.6500000000000001;1.702;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;0.146;0.0
0.8;0.25000000000000006;0.534;0.0
0.8;0.35000000000000003;0.908;0.0
0.8;0.45000000000000007;1.1780000000000002;0.0
0.8;0.5500000000000002;1.4180000000000001;0.0
0.8;0.6500000000000001;1.616;0.0
0.8;0.7500000000000002;1.752;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.146;0.0
0.9;0.25000000000000006;0.5039999999999999;0.0
0.9;0.35000000000000003;0.8400000000000001;0.0
0.9;0.45000000000000007;1.08;0.0
0.9;0.5500000000000002;1.3119999999999998;0.0
0.9;0.6500000000000001;1.48;0.0
0.9;0.7500000000000002;1.674;0.0
0.9;0.8500000000000002;1.864;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.10200000000000001;0.0
1.0;0.25000000000000006;0.558;0.0
1.0;0.35000000000000003;0.8200000000000001;0.0
1.0;0.45000000000000007;1.126;0.0
1.0;0.5500000000000002;1.244;0.0
1.0;0.6500000000000001;1.4640000000000002;0.0
1.0;0.7500000000000002;1.686;0.0
1.0;0.8500000000000002;1.934;0.0
1.0;0.9500000000000002;2.0;0.0
