p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;0.0;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.0;0.0
0.30000000000000004;0.25000000000000006;1.78;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;0.0;0.0
0.4;0.25000000000000006;2.74;0.0
0.4;0.35000000000000003;8.22;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.0;0.0
0.5;0.25000000000000006;2.54;0.0
0.5;0.35000000000000003;10.08;0.0
0.5;0.45000000000000007;14.2;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;0.0;0.0
0.6;0.25000000000000006;3.26;0.0
0.6;0.35000000000000003;11.38;0.0
0.6;0.45000000000000007;16.38;0.0
0.6;0.5500000000000002;23.24;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;0.0;0.0
0.7000000000000001;0.25000000000000006;3.9;0.0
0.7000000000000001;0.35000000000000003;10.72;0.0
0.7000000000000001;0.45000000000000007;18.4;0.0
0.7000000000000001;0.5500000000000002;23.32;0.0
0.7000000000000001;0.6500000000000001;32.38;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;0.0;0.0
0.8;0.25000000000000006;5.42;0.0
0.8;0.35000000000000003;10.8;0.0
0.8;0.45000000000000007;18.84;0.0
0.8;0.5500000000000002;26.28;0.0
0.8;0.6500000000000001;32.2;0.0
0.8;0.7500000000000002;40.26;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.0;0.0
0.9;0.25000000000000006;6.32;0.0
0.9;0.35000000000000003;12.78;0.0
0.9;0.45000000000000007;19.86;0.0
0.9;0.5500000000000002;27.38;0.0
0.9;0.6500000000000001;34.68;0.0
0.9;0.7500000000000002;40.44;0.0
0.9;0.8500000000000002;49.34;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.34;0.0
1.0;0.25000000000000006;6.98;0.0
1.0;0.35000000000000003;14.54;0.0
1.0;0.45000000000000007;22.56;0.0
1.0;0.5500000000000002;29.68;0.0
1.0;0.6500000000000001;34.72;0.0
1.0;0.7500000000000002;42.3;0.0
1.0;0.8500000000000002;51.28;0.0
1.0;0.9500000000000002;52.0;0.0
