p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;2.26;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;1.82;0.0
0.30000000000000004;0.25000000000000006;28.78;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;1.14;0.0
0.4;0.25000000000000006;30.56;0.0
0.4;0.35000000000000003;40.12;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.58;0.0
0.5;0.25000000000000006;33.2;0.0
0.5;0.35000000000000003;41.06;0.0
0.5;0.45000000000000007;44.3;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;3.98;0.0
0.6;0.25000000000000006;35.64;0.0
0.6;0.35000000000000003;41.86;0.0
0.6;0.45000000000000007;45.12;0.0
0.6;0.5500000000000002;47.26;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;2.72;0.0
0.7000000000000001;0.25000000000000006;35.4;0.0
0.7000000000000001;0.35000000000000003;42.62;0.0
0.7000000000000001;0.45000000000000007;45.56;0.0
0.7000000000000001;0.5500000000000002;47.88;0.0
0.7000000000000001;0.6500000000000001;49.16;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;4.66;0.0
0.8;0.25000000000000006;37.28;0.0
0.8;0.35000000000000003;42.98;0.0
0.8;0.45000000000000007;46.06;0.0
0.8;0.5500000000000002;48.16;0.0
0.8;0.6500000000000001;49.8;0.0
0.8;0.7500000000000002;50.32;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;4.48;0.0
0.9;0.25000000000000006;38.46;0.0
0.9;0.35000000000000003;43.88;0.0
0.9;0.45000000000000007;46.98;0.0
0.9;0.5500000000000002;48.76;0.0
0.9;0.6500000000000001;49.8;0.0
0.9;0.7500000000000002;50.56;0.0
0.9;0.8500000000000002;51.6;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;5.12;0.0
1.0;0.25000000000000006;38.86;0.0
1.0;0.35000000000000003;44.58;0.0
1.0;0.45000000000000007;47.3;0.0
1.0;0.5500000000000002;49.26;0.0
1.0;0.6500000000000001;50.04;0.0
1.0;0.7500000000000002;50.96;0.0
1.0;0.8500000000000002;51.96;0.0
1.0;0.9500000000000002;52.0;0.0
