p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;0.0;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.0;0.0
0.30000000000000004;0.25000000000000006;0.0;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;0.0;0.0
0.4;0.25000000000000006;0.0;0.0
0.4;0.35000000000000003;0.28;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.0;0.0
0.5;0.25000000000000006;0.0;0.0
0.5;0.35000000000000003;0.26;0.0
0.5;0.45000000000000007;2.64;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;0.0;0.0
0.6;0.25000000000000006;0.0;0.0
0.6;0.35000000000000003;0.36;0.0
0.6;0.45000000000000007;3.74;0.0
0.6;0.5500000000000002;17.98;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;0.0;0.0
0.7000000000000001;0.25000000000000006;0.04;0.0
0.7000000000000001;0.35000000000000003;0.9;0.0
0.7000000000000001;0.45000000000000007;6.54;0.0
0.7000000000000001;0.5500000000000002;19.68;0.0
0.7000000000000001;0.6500000000000001;20.96;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;0.0;0.0
0.8;0.25000000000000006;0.02;0.0
0.8;0.35000000000000003;0.78;0.0
0.8;0.45000000000000007;8.54;0.0
0.8;0.5500000000000002;20.38;0.0
0.8;0.6500000000000001;21.0;0.0
0.8;0.7500000000000002;22.08;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.0;0.0
0.9;0.25000000000000006;0.08;0.0
0.9;0.35000000000000003;1.68;0.0
0.9;0.45000000000000007;10.1;0.0
0.9;0.5500000000000002;20.76;0.0
0.9;0.6500000000000001;21.08;0.0
0.9;0.7500000000000002;23.18;0.0
0.9;0.8500000000000002;38.74;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.0;0.0
1.0;0.25000000000000006;0.22;0.0
1.0;0.35000000000000003;2.74;0.0
1.0;0.45000000000000007;14.08;0.0
1.0;0.5500000000000002;20.98;0.0
1.0;0.6500000000000001;21.92;0.0
1.0;0.7500000000000002;27.18;0.0
1.0;0.8500000000000002;41.0;0.0
1.0;0.9500000000000002;41.0;0.0
